LICENCIATURA,TAREA,PESO,RIESGO_TAREA,,,,,,,,,,
Trabajo Social,Comunicación empática,5,0.3,,,,,,,,,,
Trabajo Social,Resolución de conflictos,7,1,,,,,,,,,,
Trabajo Social,Ética profesional,7,0.8,,,,,,,,,,
" Humanidades (Filosofía, Literatura, Historia, Lingüística)",Pensamiento crítico y ético,4,0.9,,,,,,,,,,
" Humanidades (Filosofía, Literatura, Historia, Lingüística)",Creatividad narrativa,7,0.9,,,,,,,,,,
" Humanidades (Filosofía, Literatura, Historia, Lingüística)",Empatía cultural,3,0.6,,,,,,,,,,
" Humanidades (Filosofía, Literatura, Historia, Lingüística)",Análisis contextual e histórico,6,0.9,,,,,,,,,,
" Humanidades (Filosofía, Literatura, Historia, Lingüística)",Visión holística,2,0.2,,,,,,,,,,
 Sociología / Antropología,Pensamiento sistémico y crítico,10,0.3,,,,,,,,,,
 Sociología / Antropología,Empatía cultural,9,0.1,,,,,,,,,,
 Sociología / Antropología,Investigación cualitativa,5,0.4,,,,,,,,,,
 Sociología / Antropología,Comunicación efectiva,6,0.4,,,,,,,,,,
 Sociología / Antropología,Diseño de políticas sociales,4,0.3,,,,,,,,,,
 Arquitectura,Creatividad espacial,10,0.8,,,,,,,,,,
 Arquitectura,Interpretación estética y funcional,7,0.4,,,,,,,,,,
 Arquitectura,Comunicación con equipos,9,0.4,,,,,,,,,,
 Arquitectura,Pensamiento de diseño,7,0.6,,,,,,,,,,
 Arquitectura,Negociación y gestión de proyectos,1,0.2,,,,,,,,,,
Actuaría,Pensamiento crítico (verificación de hechos),7,0.327,,,,,,,,,,
Actuaría,Empatía,1,0.327,,,,,,,,,,
Actuaría,Colaboración multidisciplinaria,8,0.327,,,,,,,,,,
Actuaría,Pensamiento sistémico y crítico,4,0.327,,,,,,,,,,
Actuaría,Liderazgo transformacional,3,0.327,,,,,,,,,,
Antropología Cultural,Curaduría y estrategia de contenido,10,0.313,,,,,,,,,,
Antropología Cultural,Colaboración multidisciplinaria,5,0.313,,,,,,,,,,
Antropología Cultural,Resolución de problemas en condiciones variables,9,0.313,,,,,,,,,,
Antropología Cultural,Visión holística,2,0.313,,,,,,,,,,
Antropología Cultural,Argumentación persuasiva,9,0.313,,,,,,,,,,
Arquitectura,Pensamiento analítico profundo,6,0.274,,,,,,,,,,
Arquitectura,Innovación en robótica,3,0.274,,,,,,,,,,
Arquitectura,Empatía,2,0.274,,,,,,,,,,
Arquitectura,Empatía con el cliente,10,0.274,,,,,,,,,,
Arquitectura,Liderazgo transformacional,1,0.274,,,,,,,,,,
Artes Culinarias,Análisis contextual e histórico,4,0.294,,,,,,,,,,
Artes Culinarias,Investigación profunda,7,0.294,,,,,,,,,,
Artes Culinarias,Capacidad de análisis financiero y normativo,4,0.294,,,,,,,,,,
Artes Culinarias,Pensamiento estratégico,7,0.294,,,,,,,,,,
Artes Culinarias,Integración tecnológica (IA e Industria 4.0),1,0.294,,,,,,,,,,
Biología,Negociación y resolución de conflictos humanos,5,0.325,,,,,,,,,,
Biología,Diseño de entornos resilientes,10,0.325,,,,,,,,,,
Biología,Colaboración en entornos técnicos,7,0.325,,,,,,,,,,
Biología,Resolución de fallas complejas,1,0.325,,,,,,,,,,
Biología,Diseño de políticas sociales,3,0.325,,,,,,,,,,
Biomedicina,Aprendizaje continuo,7,0.35,,,,,,,,,,
Biomedicina,Negociación y resolución de conflictos humanos,2,0.35,,,,,,,,,,
Biomedicina,Resolución de problemas no estructurados,9,0.35,,,,,,,,,,
Biomedicina,Resolución de problemas en condiciones variables,5,0.35,,,,,,,,,,
Biomedicina,Investigación cualitativa,3,0.35,,,,,,,,,,
Biotecnología,Creatividad narrativa,5,0.34,,,,,,,,,,
Biotecnología,Comunicación empática,1,0.34,,,,,,,,,,
Biotecnología,Creatividad conceptual,8,0.34,,,,,,,,,,
Biotecnología,Intervención en crisis,10,0.34,,,,,,,,,,
Biotecnología,Análisis contextual e histórico,10,0.34,,,,,,,,,,
Comercio Internacional,Gestión de proyectos complejos,4,0.354,,,,,,,,,,
Comercio Internacional,Pensamiento sistémico y crítico,6,0.354,,,,,,,,,,
Comercio Internacional,Creatividad para resolver problemas inéditos,6,0.354,,,,,,,,,,
Comercio Internacional,Colaboración multidisciplinaria,1,0.354,,,,,,,,,,
Comercio Internacional,Ética profesional,5,0.354,,,,,,,,,,
Comunicación,Negociación y gestión de proyectos,3,0.299,,,,,,,,,,
Comunicación,Toma de decisiones en campo,2,0.299,,,,,,,,,,
Comunicación,Liderazgo transformacional,8,0.299,,,,,,,,,,
Comunicación,Pensamiento crítico y ético,5,0.299,,,,,,,,,,
Comunicación,Ética y empatía,8,0.299,,,,,,,,,,
Contaduría Pública,Creatividad conceptual,8,0.389,,,,,,,,,,
Contaduría Pública,Diseño de entornos resilientes,4,0.389,,,,,,,,,,
Contaduría Pública,Empatía cultural,1,0.389,,,,,,,,,,
Contaduría Pública,Negociación y resolución de conflictos humanos,9,0.389,,,,,,,,,,
Contaduría Pública,Integración tecnológica (IA e Industria 4.0),2,0.389,,,,,,,,,,
Criminología,Gestión del cambio,1,0.265,,,,,,,,,,
Criminología,Integración tecnológica (IA e Industria 4.0),3,0.265,,,,,,,,,,
Criminología,Argumentación persuasiva,6,0.265,,,,,,,,,,
Criminología,Capacidad de análisis financiero y normativo,4,0.265,,,,,,,,,,
Criminología,Liderazgo transformacional,4,0.265,,,,,,,,,,
Derecho,Capacidad de análisis financiero y normativo,2,0.372,,,,,,,,,,
Derecho,Empatía,1,0.372,,,,,,,,,,
Derecho,Análisis contextual e histórico,7,0.372,,,,,,,,,,
Derecho,Creatividad para resolver problemas inéditos,4,0.372,,,,,,,,,,
Derecho,Intervención en crisis,3,0.372,,,,,,,,,,
Diseño Gráfico,Intervención en crisis,5,0.257,,,,,,,,,,
Diseño Gráfico,Pensamiento estratégico,9,0.257,,,,,,,,,,
Diseño Gráfico,Curaduría y estrategia de contenido,2,0.257,,,,,,,,,,
Diseño Gráfico,Capacidad de análisis financiero y normativo,1,0.257,,,,,,,,,,
Diseño Gráfico,Integración tecnológica (IA e Industria 4.0),6,0.257,,,,,,,,,,
Diseño Industrial,Resolución de fallas complejas,7,0.184,,,,,,,,,,
Diseño Industrial,Pensamiento sistémico,5,0.184,,,,,,,,,,
Diseño Industrial,Liderazgo transformacional,9,0.184,,,,,,,,,,
Diseño Industrial,Negociación y resolución de conflictos humanos,8,0.184,,,,,,,,,,
Diseño Industrial,Innovación en robótica,3,0.184,,,,,,,,,,
Diseño Multimedia,Creatividad para resolver problemas inéditos,7,0.28,,,,,,,,,,
Diseño Multimedia,Comunicación empática,1,0.28,,,,,,,,,,
Diseño Multimedia,Liderazgo en entornos automatizados,7,0.28,,,,,,,,,,
Diseño Multimedia,Negociación,2,0.28,,,,,,,,,,
Diseño Multimedia,Resolución de problemas visuales,5,0.28,,,,,,,,,,
Diseño Urbano Ambiental,Investigación profunda,8,0.231,,,,,,,,,,
Diseño Urbano Ambiental,Ética y empatía,7,0.231,,,,,,,,,,
Diseño Urbano Ambiental,Juicio ético,7,0.231,,,,,,,,,,
Diseño Urbano Ambiental,Investigación cualitativa,8,0.231,,,,,,,,,,
Diseño Urbano Ambiental,Diseño de políticas sociales,9,0.231,,,,,,,,,,
Economía,Pensamiento crítico y ético,7,0.227,,,,,,,,,,
Economía,Liderazgo en infraestructura sostenible,5,0.227,,,,,,,,,,
Economía,Visión artística,5,0.227,,,,,,,,,,
Economía,Argumentación persuasiva,1,0.227,,,,,,,,,,
Economía,Comunicación empática,7,0.227,,,,,,,,,,
Educación Física,Liderazgo en infraestructura sostenible,9,0.247,,,,,,,,,,
Educación Física,Empatía con el cliente,8,0.247,,,,,,,,,,
Educación Física,Liderazgo en entornos automatizados,3,0.247,,,,,,,,,,
Educación Física,Narrativa emocional,2,0.247,,,,,,,,,,
Educación Física,Creatividad espacial,6,0.247,,,,,,,,,,
Educación Preescolar,Gestión de proyectos complejos,10,0.318,,,,,,,,,,
Educación Preescolar,Integración tecnológica (IA e Industria 4.0),5,0.318,,,,,,,,,,
Educación Preescolar,Capacidad de análisis financiero y normativo,8,0.318,,,,,,,,,,
Educación Preescolar,Toma de decisiones en campo,2,0.318,,,,,,,,,,
Educación Preescolar,Pensamiento sistémico y crítico,6,0.318,,,,,,,,,,
Educación Primaria,Interpretación estética y funcional,8,0.256,,,,,,,,,,
Educación Primaria,Pensamiento de diseño,8,0.256,,,,,,,,,,
Educación Primaria,Argumentación persuasiva,10,0.256,,,,,,,,,,
Educación Primaria,Narrativa emocional,9,0.256,,,,,,,,,,
Educación Primaria,Juicio ético,1,0.256,,,,,,,,,,
Enfermería,Comunicación con equipos,9,0.344,,,,,,,,,,
Enfermería,Narrativa emocional,10,0.344,,,,,,,,,,
Enfermería,Colaboración en entornos técnicos,9,0.344,,,,,,,,,,
Enfermería,Interpretación estética y funcional,1,0.344,,,,,,,,,,
Enfermería,Investigación profunda,6,0.344,,,,,,,,,,
Enfermería General y Obstetricia,Interpretación estética y funcional,8,0.243,,,,,,,,,,
Enfermería General y Obstetricia,Liderazgo transformacional,9,0.243,,,,,,,,,,
Enfermería General y Obstetricia,Gestión de proyectos complejos,1,0.243,,,,,,,,,,
Enfermería General y Obstetricia,Investigación profunda,6,0.243,,,,,,,,,,
Enfermería General y Obstetricia,Capacidad de análisis financiero y normativo,6,0.243,,,,,,,,,,
Filosofía,Pensamiento de diseño,1,0.237,,,,,,,,,,
Filosofía,Negociación y gestión de proyectos,1,0.237,,,,,,,,,,
Filosofía,Ética y empatía,5,0.237,,,,,,,,,,
Filosofía,Liderazgo en infraestructura sostenible,10,0.237,,,,,,,,,,
Filosofía,Creatividad en soluciones legales,1,0.237,,,,,,,,,,
Finanzas,Empatía cultural,4,0.202,,,,,,,,,,
Finanzas,Comunicación persuasiva,6,0.202,,,,,,,,,,
Finanzas,Pensamiento estratégico,2,0.202,,,,,,,,,,
Finanzas,Colaboración multidisciplinaria,8,0.202,,,,,,,,,,
Finanzas,Liderazgo en infraestructura sostenible,10,0.202,,,,,,,,,,
Física,Ética y empatía,4,0.359,,,,,,,,,,
Física,Inteligencia emocional,6,0.359,,,,,,,,,,
Física,Creatividad técnica,8,0.359,,,,,,,,,,
Física,Comunicación con equipos,5,0.359,,,,,,,,,,
Física,Innovación en robótica,1,0.359,,,,,,,,,,
Fisioterapia,Juicio ético,2,0.282,,,,,,,,,,
Fisioterapia,Comunicación persuasiva,8,0.282,,,,,,,,,,
Fisioterapia,Pensamiento crítico (verificación de hechos),1,0.282,,,,,,,,,,
Fisioterapia,Resolución de conflictos,9,0.282,,,,,,,,,,
Fisioterapia,Empatía,7,0.282,,,,,,,,,,
Gastronomía,Negociación y gestión de proyectos,3,0.412,,,,,,,,,,
Gastronomía,Argumentación persuasiva,5,0.412,,,,,,,,,,
Gastronomía,Creatividad narrativa,4,0.412,,,,,,,,,,
Gastronomía,Pensamiento de diseño,10,0.412,,,,,,,,,,
Gastronomía,Curaduría y estrategia de contenido,10,0.412,,,,,,,,,,
Gestión Pública y Comunicación Institucional,Visión artística,9,0.329,,,,,,,,,,
Gestión Pública y Comunicación Institucional,Colaboración en entornos técnicos,8,0.329,,,,,,,,,,
Gestión Pública y Comunicación Institucional,Pensamiento crítico (verificación de hechos),6,0.329,,,,,,,,,,
Gestión Pública y Comunicación Institucional,Negociación,7,0.329,,,,,,,,,,
Gestión Pública y Comunicación Institucional,Comunicación efectiva,1,0.329,,,,,,,,,,
Historia,Liderazgo transformacional,1,0.28,,,,,,,,,,
Historia,Pensamiento estratégico,3,0.28,,,,,,,,,,
Historia,Intervención en crisis,8,0.28,,,,,,,,,,
Historia,Aprendizaje continuo,1,0.28,,,,,,,,,,
Historia,Creatividad narrativa,1,0.28,,,,,,,,,,
Historia del Arte,Pensamiento analítico profundo,10,0.282,,,,,,,,,,
Historia del Arte,Empatía cultural,7,0.282,,,,,,,,,,
Historia del Arte,Negociación y gestión de proyectos,5,0.282,,,,,,,,,,
Historia del Arte,Pensamiento de diseño,4,0.282,,,,,,,,,,
Historia del Arte,Visión holística,3,0.282,,,,,,,,,,
Humanidades,Diagnóstico complejo,1,0.277,,,,,,,,,,
Humanidades,Ética y empatía,5,0.277,,,,,,,,,,
Humanidades,Liderazgo en infraestructura sostenible,9,0.277,,,,,,,,,,
Humanidades,Creatividad conceptual,7,0.277,,,,,,,,,,
Humanidades,Ética profesional,4,0.277,,,,,,,,,,
Idiomas,Curaduría y estrategia de contenido,5,0.376,,,,,,,,,,
Idiomas,Integración tecnológica (IA e Industria 4.0),7,0.376,,,,,,,,,,
Idiomas,Creatividad espacial,5,0.376,,,,,,,,,,
Idiomas,Resolución de problemas no estructurados,9,0.376,,,,,,,,,,
Idiomas,Pensamiento analítico profundo,3,0.376,,,,,,,,,,
Ingeniería en Desarrollo de Software,Pensamiento sistémico,5,0.324,,,,,,,,,,
Ingeniería en Desarrollo de Software,Innovación en robótica,9,0.324,,,,,,,,,,
Ingeniería en Desarrollo de Software,Pensamiento analítico profundo,6,0.324,,,,,,,,,,
Ingeniería en Desarrollo de Software,Resolución de problemas no estructurados,8,0.324,,,,,,,,,,
Ingeniería en Desarrollo de Software,Resolución de fallas complejas,10,0.324,,,,,,,,,,
Ingeniería en Energías Renovables,Diseño de entornos resilientes,4,0.327,,,,,,,,,,
Ingeniería en Energías Renovables,Visión holística,10,0.327,,,,,,,,,,
Ingeniería en Energías Renovables,Pensamiento crítico y ético,1,0.327,,,,,,,,,,
Ingeniería en Energías Renovables,Empatía,2,0.327,,,,,,,,,,
Ingeniería en Energías Renovables,Diseño de experiencias (UX/UI),7,0.327,,,,,,,,,,
Ingeniería en Sistemas Automotrices,Ética en desarrollo tecnológico,5,0.23,,,,,,,,,,
Ingeniería en Sistemas Automotrices,Resolución de conflictos,6,0.23,,,,,,,,,,
Ingeniería en Sistemas Automotrices,Colaboración en entornos técnicos,5,0.23,,,,,,,,,,
Ingeniería en Sistemas Automotrices,Liderazgo en entornos automatizados,8,0.23,,,,,,,,,,
Ingeniería en Sistemas Automotrices,Diseño de entornos resilientes,3,0.23,,,,,,,,,,
Ingeniería en Seguridad e Higiene,Pensamiento analítico profundo,9,0.33,,,,,,,,,,
Ingeniería en Seguridad e Higiene,Argumentación persuasiva,6,0.33,,,,,,,,,,
Ingeniería en Seguridad e Higiene,Creatividad conceptual,8,0.33,,,,,,,,,,
Ingeniería en Seguridad e Higiene,Ética en desarrollo tecnológico,2,0.33,,,,,,,,,,
Ingeniería en Seguridad e Higiene,Negociación y resolución de conflictos humanos,8,0.33,,,,,,,,,,
Ingeniería en Electrónica y Automatización,Diseño de experiencias (UX/UI),8,0.2,,,,,,,,,,
Ingeniería en Electrónica y Automatización,Ética en desarrollo tecnológico,7,0.2,,,,,,,,,,
Ingeniería en Electrónica y Automatización,Investigación profunda,1,0.2,,,,,,,,,,
Ingeniería en Electrónica y Automatización,Creatividad conceptual,10,0.2,,,,,,,,,,
Ingeniería en Electrónica y Automatización,Ética profesional,4,0.2,,,,,,,,,,
Lenguas Modernas,Negociación y resolución de conflictos humanos,2,0.158,,,,,,,,,,
Lenguas Modernas,Creatividad conceptual,7,0.158,,,,,,,,,,
Lenguas Modernas,Integración tecnológica (IA e Industria 4.0),1,0.158,,,,,,,,,,
Lenguas Modernas,Pensamiento estratégico,4,0.158,,,,,,,,,,
Lenguas Modernas,Creatividad espacial,6,0.158,,,,,,,,,,
Matemáticas,Visión artística,3,0.26,,,,,,,,,,
Matemáticas,Resolución de problemas en condiciones variables,1,0.26,,,,,,,,,,
Matemáticas,Diseño de experiencias (UX/UI),3,0.26,,,,,,,,,,
Matemáticas,Interpretación estética y funcional,2,0.26,,,,,,,,,,
Matemáticas,Resolución de problemas visuales,8,0.26,,,,,,,,,,
Medicina,Ética en desarrollo tecnológico,6,0.168,,,,,,,,,,
Medicina,Diseño de políticas sociales,5,0.168,,,,,,,,,,
Medicina,Visión holística,8,0.168,,,,,,,,,,
Medicina,Investigación cualitativa,3,0.168,,,,,,,,,,
Medicina,Resolución de problemas en condiciones variables,6,0.168,,,,,,,,,,
Medicina Veterinaria y Zootecnia,Innovación en robótica,5,0.325,,,,,,,,,,
Medicina Veterinaria y Zootecnia,Gestión de proyectos complejos,1,0.325,,,,,,,,,,
Medicina Veterinaria y Zootecnia,Comunicación efectiva,6,0.325,,,,,,,,,,
Medicina Veterinaria y Zootecnia,Diseño de experiencias (UX/UI),9,0.325,,,,,,,,,,
Medicina Veterinaria y Zootecnia,Empatía cultural,2,0.325,,,,,,,,,,
Mercadotecnia,Resolución de problemas no estructurados,3,0.214,,,,,,,,,,
Mercadotecnia,Investigación profunda,10,0.214,,,,,,,,,,
Mercadotecnia,Intervención en crisis,3,0.214,,,,,,,,,,
Mercadotecnia,Creatividad narrativa,5,0.214,,,,,,,,,,
Mercadotecnia,Creatividad espacial,3,0.214,,,,,,,,,,
Música,Resolución de problemas en condiciones variables,8,0.322,,,,,,,,,,
Música,Pensamiento sistémico,8,0.322,,,,,,,,,,
Música,Pensamiento crítico (verificación de hechos),8,0.322,,,,,,,,,,
Música,Comunicación con equipos,5,0.322,,,,,,,,,,
Música,Diseño de políticas sociales,2,0.322,,,,,,,,,,
Nutrición,Ética profesional,5,0.3,,,,,,,,,,
Nutrición,Juicio ético,5,0.3,,,,,,,,,,
Nutrición,Integración tecnológica (IA e Industria 4.0),9,0.3,,,,,,,,,,
Nutrición,Interpretación estética y funcional,8,0.3,,,,,,,,,,
Nutrición,Empatía cultural,10,0.3,,,,,,,,,,
Odontología,Visión artística,1,0.246,,,,,,,,,,
Odontología,Resolución de conflictos,1,0.246,,,,,,,,,,
Odontología,Comunicación efectiva,6,0.246,,,,,,,,,,
Odontología,Creatividad conceptual,6,0.246,,,,,,,,,,
Odontología,Liderazgo en infraestructura sostenible,6,0.246,,,,,,,,,,
Psicología,Gestión de proyectos complejos,5,0.409,,,,,,,,,,
Psicología,Capacidad de análisis financiero y normativo,1,0.409,,,,,,,,,,
Psicología,Resolución de problemas en condiciones variables,8,0.409,,,,,,,,,,
Psicología,Pensamiento sistémico,1,0.409,,,,,,,,,,
Psicología,Creatividad en soluciones legales,1,0.409,,,,,,,,,,
Química,Ética profesional,7,0.375,,,,,,,,,,
Química,Diseño de entornos resilientes,6,0.375,,,,,,,,,,
Química,Argumentación persuasiva,5,0.375,,,,,,,,,,
Química,Aprendizaje continuo,9,0.375,,,,,,,,,,
Química,Colaboración en entornos técnicos,3,0.375,,,,,,,,,,
Sociología,Comunicación empática,3,0.217,,,,,,,,,,
Sociología,Pensamiento crítico (verificación de hechos),3,0.217,,,,,,,,,,
Sociología,Comunicación efectiva,5,0.217,,,,,,,,,,
Sociología,Investigación profunda,9,0.217,,,,,,,,,,
Sociología,Comunicación persuasiva,4,0.217,,,,,,,,,,
Turismo,Integración tecnológica (IA e Industria 4.0),7,0.328,,,,,,,,,,
Turismo,Empatía cultural,5,0.328,,,,,,,,,,
Turismo,Empatía con el cliente,2,0.328,,,,,,,,,,
Turismo,Pensamiento analítico profundo,8,0.328,,,,,,,,,,
Turismo,Inteligencia emocional,8,0.328,,,,,,,,,,
Administración Pública,Pensamiento crítico (verificación de hechos),1,0.191,,,,,,,,,,
Administración Pública,Pensamiento analítico profundo,10,0.191,,,,,,,,,,
Administración Pública,Empatía con el cliente,3,0.191,,,,,,,,,,
Administración Pública,Creatividad narrativa,4,0.191,,,,,,,,,,
Administración Pública,Gestión de proyectos complejos,2,0.191,,,,,,,,,,
Ciencias Sociales y Estudios del Comportamiento,Comunicación efectiva,2,0.177,,,,,,,,,,
Ciencias Sociales y Estudios del Comportamiento,Liderazgo en entornos automatizados,4,0.177,,,,,,,,,,
Ciencias Sociales y Estudios del Comportamiento,Pensamiento crítico y ético,3,0.177,,,,,,,,,,
Ciencias Sociales y Estudios del Comportamiento,Pensamiento analítico profundo,10,0.177,,,,,,,,,,
Ciencias Sociales y Estudios del Comportamiento,Inteligencia emocional,8,0.177,,,,,,,,,,
Comunicación y Periodismo,Colaboración multidisciplinaria,2,0.447,,,,,,,,,,
Comunicación y Periodismo,Aprendizaje continuo,2,0.447,,,,,,,,,,
Comunicación y Periodismo,Diseño de políticas sociales,3,0.447,,,,,,,,,,
Comunicación y Periodismo,Gestión del cambio,10,0.447,,,,,,,,,,
Comunicación y Periodismo,Visión artística,4,0.447,,,,,,,,,,
Negocios y Comercio,Comunicación con equipos,8,0.407,,,,,,,,,,
Negocios y Comercio,Integración tecnológica (IA e Industria 4.0),7,0.407,,,,,,,,,,
Negocios y Comercio,Resolución de problemas visuales,7,0.407,,,,,,,,,,
Negocios y Comercio,Argumentación persuasiva,2,0.407,,,,,,,,,,
Negocios y Comercio,Comunicación empática,5,0.407,,,,,,,,,,
Ingeniería Agroforestal,Pensamiento sistémico,10,0.237,,,,,,,,,,
Ingeniería Agroforestal,Comunicación efectiva,3,0.237,,,,,,,,,,
Ingeniería Agroforestal,Investigación profunda,7,0.237,,,,,,,,,,
Ingeniería Agroforestal,Pensamiento estratégico,10,0.237,,,,,,,,,,
Ingeniería Agroforestal,Análisis contextual e histórico,5,0.237,,,,,,,,,,
Ingeniería Agroindustrial,Negociación y resolución de conflictos humanos,9,0.204,,,,,,,,,,
Ingeniería Agroindustrial,Pensamiento crítico y ético,10,0.204,,,,,,,,,,
Ingeniería Agroindustrial,Diseño de experiencias (UX/UI),3,0.204,,,,,,,,,,
Ingeniería Agroindustrial,Colaboración en entornos técnicos,4,0.204,,,,,,,,,,
Ingeniería Agroindustrial,Investigación profunda,3,0.204,,,,,,,,,,
Ingeniería Agrónoma Zootecnista,Investigación profunda,1,0.298,,,,,,,,,,
Ingeniería Agrónoma Zootecnista,Creatividad técnica,7,0.298,,,,,,,,,,
Ingeniería Agrónoma Zootecnista,Diseño de entornos resilientes,7,0.298,,,,,,,,,,
Ingeniería Agrónoma Zootecnista,Comunicación empática,4,0.298,,,,,,,,,,
Ingeniería Agrónoma Zootecnista,Aprendizaje continuo,6,0.298,,,,,,,,,,
Ingeniería Ambiental,Pensamiento crítico y ético,3,0.312,,,,,,,,,,
Ingeniería Ambiental,Visión artística,2,0.312,,,,,,,,,,
Ingeniería Ambiental,Análisis contextual e histórico,1,0.312,,,,,,,,,,
Ingeniería Ambiental,Toma de decisiones en campo,5,0.312,,,,,,,,,,
Ingeniería Ambiental,Curaduría y estrategia de contenido,6,0.312,,,,,,,,,,
Ingeniería Civil,Comunicación con equipos,4,0.395,,,,,,,,,,
Ingeniería Civil,Pensamiento de diseño,9,0.395,,,,,,,,,,
Ingeniería Civil,Diseño de experiencias (UX/UI),7,0.395,,,,,,,,,,
Ingeniería Civil,Creatividad técnica,10,0.395,,,,,,,,,,
Ingeniería Civil,Diseño de entornos resilientes,1,0.395,,,,,,,,,,
Ingeniería en Agrohidráulica,Creatividad narrativa,10,0.329,,,,,,,,,,
Ingeniería en Agrohidráulica,Creatividad para resolver problemas inéditos,10,0.329,,,,,,,,,,
Ingeniería en Agrohidráulica,Aprendizaje continuo,5,0.329,,,,,,,,,,
Ingeniería en Agrohidráulica,Diseño de políticas sociales,5,0.329,,,,,,,,,,
Ingeniería en Agrohidráulica,Liderazgo en infraestructura sostenible,8,0.329,,,,,,,,,,
Ingeniería en Alimentos,Colaboración multidisciplinaria,1,0.306,,,,,,,,,,
Ingeniería en Alimentos,Liderazgo transformacional,10,0.306,,,,,,,,,,
Ingeniería en Alimentos,Pensamiento sistémico,10,0.306,,,,,,,,,,
